Season,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
1,5.0,27.7,48.0,21.6
1,5.0,28.0,48.0,21.6
1,5.0,28.0,48.0,21.6
1,5.0,27.2,46.0,21.6
1,5.0,27.2,46.0,21.6
1,4.0,28.2,45.0,21.6
1,5.0,27.7,47.0,21.6
1,5.0,27.1,51.0,21.6
1,4.0,24.3,57.0,21.6
1,4.0,24.3,57.0,21.6
1,4.0,24.1,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,59.0,21.6
1,4.0,24.6,59.0,21.6
1,4.0,24.6,59.0,21.6
1,4.0,25.0,55.0,21.6
1,4.0,25.0,55.0,21.6
1,4.0,25.0,55.0,21.6
1,4.0,25.0,55.0,21.6
1,4.0,25.0,55.0,21.6
1,4.0,24.8,57.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,58.0,21.6
1,4.0,24.6,55.0,21.6
1,4.0,24.6,55.0,21.6
1,4.0,25.3,56.0,21.6
1,4.0,25.3,56.0,21.6
1,4.0,25.0,53.0,21.6
1,4.0,25.0,53.0,21.6
1,4.0,25.0,53.0,21.6
1,4.0,25.0,53.0,21.6
1,4.0,25.0,53.0,21.6
1,4.0,25.0,53.0,21.6
1,4.0,25.5,56.0,21.6
1,4.0,24.7,57.0,21.6
1,4.0,24.7,57.0,21.6
1,4.0,24.7,57.0,21.6
1,5.0,27.7,49.0,21.6
1,5.0,27.7,49.0,21.6
1,5.0,27.7,49.0,21.6
1,5.0,28.4,37.0,21.6
1,5.0,28.4,37.0,21.6
1,5.0,27.9,38.0,21.6
1,5.0,27.9,38.0,21.6
1,5.0,27.4,39.0,21.6
1,5.0,27.4,39.0,21.6
3,5.0,28.0,62.7,22.0
3,5.0,27.3,73.3,22.0
3,4.0,26.9,49.0,22.0
3,4.0,26.9,49.0,22.0
3,4.0,26.9,49.1,22.0
3,5.0,25.7,58.8,22.0
3,5.0,26.8,63.8,22.0
3,5.0,26.8,63.8,22.0
3,5.0,26.8,63.8,22.0
3,5.0,27.2,84.4,22.0
3,5.0,25.7,58.8,22.0
3,5.0,28.4,56.9,22.0
3,5.0,28.2,61.2,22.0
3,5.0,28.1,60.5,22.0
3,4.0,21.7,62.8,22.0
3,3.0,17.6,52.0,22.0
3,3.0,23.7,50.0,22.0
3,5.0,26.1,77.4,22.0
3,4.0,20.9,63.1,22.0
3,5.0,26.5,68.7,22.0
3,2.0,20.9,63.1,22.0
3,3.0,21.3,63.7,22.0
3,4.0,21.7,62.8,22.0
3,4.0,23.3,71.7,22.0
3,4.0,23.3,71.7,22.0
3,1.0,18.0,50.1,22.0
3,4.0,27.4,57.1,22.0
3,4.0,23.3,71.7,22.0
1,1.0,16.8,21.1,15.0
1,3.0,21.1,29.3,15.0
2,4.0,20.5,33.3,24.0
2,3.0,22.4,39.0,24.0
