Season,Thermal preference,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
3,1,4.0,26.2,27.4,31.8
3,0,5.0,27.6,26.1,32.6
3,0,5.0,26.6,25.1,32.0
3,0,5.0,29.5,16.6,33.8
3,0,4.0,22.2,21.0,34.0
3,0,5.0,26.8,19.8,34.1
3,0,5.0,26.7,21.9,34.2
3,1,4.0,28.0,22.2,34.3
3,1,4.0,27.1,21.2,34.4
3,0,4.0,29.0,16.3,34.4
3,0,5.0,28.5,24.0,35.0
3,-1,5.0,26.0,30.0,35.4
3,-1,4.0,24.0,32.6,35.6
3,0,5.0,22.9,31.9,35.6
3,-1,5.0,25.2,29.4,36.4
3,-1,5.0,25.0,30.4,35.5
3,0,5.0,25.1,30.2,36.0
3,0,5.0,19.0,39.4,36.5
3,0,5.0,21.3,36.4,36.8
3,0,5.0,27.6,32.9,39.1
3,0,5.0,28.2,34.4,39.1
3,0,5.0,30.5,28.2,40.0
3,0,5.0,30.8,30.1,40.2
3,-1,5.0,29.5,32.9,40.1
3,0,5.0,29.9,23.4,40.2
3,1,5.0,30.7,28.2,40.2
